DistrictType,Office,Party,DistrictNumber,Votes,Year
State House,Attorney General,Other,HD112,,2020
State House,Attorney General,Other,HD113,,2020
State House,Attorney General,Other,HD114,,2020
State House,Attorney General,Other,HD115,,2020
State House,Attorney General,Other,HD116,,2020
State House,Attorney General,Other,HD117,,2020
State House,Attorney General,Other,HD118,,2020
State House,Attorney General,Other,HD119,,2020
State House,Attorney General,Other,HD12,,2020
State House,Attorney General,Other,HD120,,2020
State House,Attorney General,Other,HD121,,2020
State House,Attorney General,Other,HD122,,2020
State House,Attorney General,Other,HD123,,2020
State House,Attorney General,Other,HD124,,2020
State House,Attorney General,Other,HD125,,2020
State House,Attorney General,Other,HD126,,2020
State House,Attorney General,Other,HD127,,2020
State House,Attorney General,Other,HD128,,2020
State House,Attorney General,Other,HD129,,2020
State House,Attorney General,Other,HD13,,2020
State House,Attorney General,Other,HD130,,2020
State House,Attorney General,Other,HD131,,2020
State House,Attorney General,Other,HD132,,2020
State House,Attorney General,Other,HD133,,2020
State House,Attorney General,Other,HD134,,2020
State House,Attorney General,Other,HD135,,2020
State House,Attorney General,Other,HD136,,2020
State House,Attorney General,Other,HD137,,2020
State House,Attorney General,Other,HD138,,2020
State House,Attorney General,Other,HD139,,2020
State House,Attorney General,Other,HD14,,2020
State House,Attorney General,Other,HD140,,2020
State House,Attorney General,Other,HD141,,2020
State House,Attorney General,Other,HD142,,2020
State House,Attorney General,Other,HD143,,2020
State House,Attorney General,Other,HD144,,2020
State House,Attorney General,Other,HD145,,2020
State House,Attorney General,Other,HD146,,2020
State House,Attorney General,Other,HD147,,2020
State House,Attorney General,Other,HD148,,2020
State House,Attorney General,Other,HD149,,2020
State House,Attorney General,Other,HD15,,2020
State House,Attorney General,Other,HD150,,2020
State House,Attorney General,Other,HD151,,2020
State House,Attorney General,Other,HD152,,2020
State House,Attorney General,Other,HD153,,2020
State House,Attorney General,Other,HD154,,2020
State House,Attorney General,Other,HD155,,2020
State House,Attorney General,Other,HD156,,2020
State House,Attorney General,Other,HD157,,2020
State House,Attorney General,Other,HD158,,2020
State House,Attorney General,Other,HD159,,2020
State House,Attorney General,Other,HD16,,2020
State House,Attorney General,Other,HD160,,2020
State House,Attorney General,Other,HD161,,2020
State House,Attorney General,Other,HD162,,2020
State House,Attorney General,Other,HD163,,2020
State House,Attorney General,Other,HD164,,2020
State House,Attorney General,Other,HD165,,2020
State House,Attorney General,Other,HD166,,2020
State House,Attorney General,Other,HD167,,2020
State House,Attorney General,Other,HD168,,2020
State House,Attorney General,Other,HD169,,2020
State House,Attorney General,Other,HD17,,2020
State House,Attorney General,Other,HD170,,2020
State House,Attorney General,Other,HD171,,2020
State House,Attorney General,Other,HD172,,2020
State House,Attorney General,Other,HD173,,2020
State House,Attorney General,Other,HD174,,2020
State House,Attorney General,Other,HD175,,2020
State House,Attorney General,Other,HD176,,2020
State House,Attorney General,Other,HD177,,2020
State House,Attorney General,Other,HD178,,2020
State House,Attorney General,Other,HD179,,2020
State House,Attorney General,Other,HD18,,2020
State House,Attorney General,Other,HD180,,2020
State House,Attorney General,Other,HD181,,2020
State House,Attorney General,Other,HD182,,2020
State House,Attorney General,Other,HD183,,2020
State House,Attorney General,Other,HD184,,2020
State House,Attorney General,Other,HD185,,2020
State House,Attorney General,Other,HD186,,2020
State House,Attorney General,Other,HD187,,2020
State House,Attorney General,Other,HD188,,2020
State House,Attorney General,Other,HD189,,2020
State House,Attorney General,Other,HD19,,2020
State House,Attorney General,Other,HD190,,2020
State House,Attorney General,Other,HD191,,2020
State House,Attorney General,Other,HD192,,2020
State House,Attorney General,Other,HD193,,2020
State House,Attorney General,Other,HD194,,2020
State House,Attorney General,Other,HD195,,2020
State House,Attorney General,Other,HD196,,2020
State House,Attorney General,Other,HD197,,2020
State House,Attorney General,Other,HD198,,2020
State House,Attorney General,Other,HD199,,2020
State House,Attorney General,Other,HD2,,2020
State House,Attorney General,Other,HD20,,2020
State House,Attorney General,Other,HD200,,2020
State House,Attorney General,Other,HD201,,2020
State House,Attorney General,Other,HD202,,2020
State House,Attorney General,Other,HD203,,2020
State House,Attorney General,Other,HD21,,2020
State House,Attorney General,Other,HD22,,2020
State House,Attorney General,Other,HD23,,2020
State House,Attorney General,Other,HD24,,2020
State House,Attorney General,Other,HD25,,2020
State House,Attorney General,Other,HD26,,2020
State House,Attorney General,Other,HD27,,2020
State House,Attorney General,Other,HD28,,2020
State House,Attorney General,Other,HD29,,2020
State House,Attorney General,Other,HD3,,2020
State House,Attorney General,Other,HD30,,2020
State House,Attorney General,Other,HD31,,2020
State House,Attorney General,Other,HD32,,2020
State House,Attorney General,Other,HD33,,2020
State House,Attorney General,Other,HD34,,2020
State House,Attorney General,Other,HD35,,2020
State House,Attorney General,Other,HD36,,2020
State House,Attorney General,Other,HD37,,2020
State House,Attorney General,Other,HD38,,2020
State House,Attorney General,Other,HD39,,2020
State House,Attorney General,Other,HD4,,2020
State House,Attorney General,Other,HD40,,2020
State House,Attorney General,Other,HD41,,2020
State House,Attorney General,Other,HD42,,2020
State House,Attorney General,Other,HD43,,2020
State House,Attorney General,Other,HD44,,2020
State House,Attorney General,Other,HD45,,2020
State House,Attorney General,Other,HD46,,2020
State House,Attorney General,Other,HD47,,2020
State House,Attorney General,Other,HD48,,2020
State House,Attorney General,Other,HD49,,2020
State House,Attorney General,Other,HD5,,2020
State House,Attorney General,Other,HD50,,2020
State House,Attorney General,Other,HD51,,2020
State House,Attorney General,Other,HD52,,2020
State House,Attorney General,Other,HD53,,2020
State House,Attorney General,Other,HD54,,2020
State House,Attorney General,Other,HD55,,2020
State House,Attorney General,Other,HD56,,2020
State House,Attorney General,Other,HD57,,2020
State House,Attorney General,Other,HD58,,2020
State House,Attorney General,Other,HD59,,2020
State House,Attorney General,Other,HD6,,2020
State House,Attorney General,Other,HD60,,2020
State House,Attorney General,Other,HD61,,2020
State House,Attorney General,Other,HD62,,2020
State House,Attorney General,Other,HD63,,2020
State House,Attorney General,Other,HD64,,2020
State House,Attorney General,Other,HD65,,2020
State House,Attorney General,Other,HD66,,2020
State House,Attorney General,Other,HD67,,2020
State House,Attorney General,Other,HD68,,2020
State House,Attorney General,Other,HD69,,2020
State House,Attorney General,Other,HD7,,2020
State House,Attorney General,Other,HD70,,2020
State House,Attorney General,Other,HD71,,2020
State House,Attorney General,Other,HD72,,2020
State House,Attorney General,Other,HD73,,2020
State House,Attorney General,Other,HD74,,2020
State House,Attorney General,Other,HD75,,2020
State House,Attorney General,Other,HD76,,2020
State House,Attorney General,Other,HD77,,2020
State House,Attorney General,Other,HD78,,2020
State House,Attorney General,Other,HD79,,2020
State House,Attorney General,Other,HD8,,2020
State House,Attorney General,Other,HD80,,2020
State House,Attorney General,Other,HD81,,2020
State House,Attorney General,Other,HD82,,2020
State House,Attorney General,Other,HD83,,2020
State House,Attorney General,Other,HD84,,2020
State House,Attorney General,Other,HD85,,2020
State House,Attorney General,Other,HD86,,2020
State House,Attorney General,Other,HD87,,2020
State House,Attorney General,Other,HD88,,2020
State House,Attorney General,Other,HD89,,2020
State House,Attorney General,Other,HD9,,2020
State House,Attorney General,Other,HD90,,2020
State House,Attorney General,Other,HD91,,2020
State House,Attorney General,Other,HD92,,2020
State House,Attorney General,Other,HD93,,2020
State House,Attorney General,Other,HD94,,2020
State House,Attorney General,Other,HD95,,2020
State House,Attorney General,Other,HD96,,2020
State House,Attorney General,Other,HD97,,2020
State House,Attorney General,Other,HD98,,2020
State House,Attorney General,Other,HD99,,2020
State House,Attorney General,Republican,HD1,6651,2020
State House,Attorney General,Republican,HD10,16059,2020
State House,Attorney General,Republican,HD100,18887,2020
State House,Attorney General,Republican,HD101,19776,2020
State House,Attorney General,Republican,HD102,22670,2020
State House,Attorney General,Republican,HD103,4689,2020
State House,Attorney General,Republican,HD104,18245,2020
State House,Attorney General,Republican,HD105,19081,2020
State House,Attorney General,Republican,HD106,16729,2020
State House,Attorney General,Republican,HD107,17472,2020
State House,Attorney General,Republican,HD108,19524,2020
State House,Attorney General,Republican,HD109,16658,2020
State House,Attorney General,Republican,HD11,19808,2020
State House,Attorney General,Republican,HD110,19878,2020
State House,Attorney General,Republican,HD111,19886,2020
State House,Attorney General,Republican,HD112,10757,2020
State House,Attorney General,Republican,HD113,9576,2020
State House,Attorney General,Republican,HD114,15712,2020
State House,Attorney General,Republican,HD115,9566,2020
State House,Attorney General,Republican,HD116,15694,2020
State House,Attorney General,Republican,HD117,19507,2020
State House,Attorney General,Republican,HD118,16063,2020
State House,Attorney General,Republican,HD119,14542,2020
State House,Attorney General,Republican,HD12,25903,2020
State House,Attorney General,Republican,HD120,14200,2020
State House,Attorney General,Republican,HD121,9375,2020
State House,Attorney General,Republican,HD122,19128,2020
State House,Attorney General,Republican,HD123,13257,2020
State House,Attorney General,Republican,HD124,20689,2020
State House,Attorney General,Republican,HD125,21321,2020
State House,Attorney General,Republican,HD126,9922,2020
State House,Attorney General,Republican,HD127,4001,2020
State House,Attorney General,Republican,HD128,20202,2020
State House,Attorney General,Republican,HD129,20093,2020
State House,Attorney General,Republican,HD13,18266,2020
State House,Attorney General,Republican,HD130,21059,2020
State House,Attorney General,Republican,HD131,21138,2020
State House,Attorney General,Republican,HD132,8190,2020
State House,Attorney General,Republican,HD133,12073,2020
State House,Attorney General,Republican,HD134,19800,2020
State House,Attorney General,Republican,HD135,9900,2020
State House,Attorney General,Republican,HD136,12457,2020
State House,Attorney General,Republican,HD137,19539,2020
State House,Attorney General,Republican,HD138,21988,2020
State House,Attorney General,Republican,HD139,22675,2020
State House,Attorney General,Republican,HD14,20634,2020
State House,Attorney General,Republican,HD140,13181,2020
State House,Attorney General,Republican,HD141,12737,2020
State House,Attorney General,Republican,HD142,20817,2020
State House,Attorney General,Republican,HD143,20557,2020
State House,Attorney General,Republican,HD144,19903,2020
State House,Attorney General,Republican,HD145,20100,2020
State House,Attorney General,Republican,HD146,15655,2020
State House,Attorney General,Republican,HD147,20146,2020
State House,Attorney General,Republican,HD148,13144,2020
State House,Attorney General,Republican,HD149,12111,2020
State House,Attorney General,Republican,HD15,20564,2020
State House,Attorney General,Republican,HD150,15780,2020
State House,Attorney General,Republican,HD151,15132,2020
State House,Attorney General,Republican,HD152,15312,2020
State House,Attorney General,Republican,HD153,11036,2020
State House,Attorney General,Republican,HD154,7224,2020
State House,Attorney General,Republican,HD155,19187,2020
State House,Attorney General,Republican,HD156,17167,2020
State House,Attorney General,Republican,HD157,15141,2020
State House,Attorney General,Republican,HD158,16376,2020
State House,Attorney General,Republican,HD159,5423,2020
State House,Attorney General,Republican,HD16,14640,2020
State House,Attorney General,Republican,HD160,18733,2020
State House,Attorney General,Republican,HD161,17074,2020
State House,Attorney General,Republican,HD162,15174,2020
State House,Attorney General,Republican,HD163,14388,2020
State House,Attorney General,Republican,HD164,4141,2020
State House,Attorney General,Republican,HD165,19099,2020
State House,Attorney General,Republican,HD166,12004,2020
State House,Attorney General,Republican,HD167,17740,2020
State House,Attorney General,Republican,HD168,19824,2020
State House,Attorney General,Republican,HD169,23810,2020
State House,Attorney General,Republican,HD17,19335,2020
State House,Attorney General,Republican,HD170,13352,2020
State House,Attorney General,Republican,HD171,21206,2020
State House,Attorney General,Republican,HD172,10648,2020
State House,Attorney General,Republican,HD173,9618,2020
State House,Attorney General,Republican,HD174,10387,2020
State House,Attorney General,Republican,HD175,6012,2020
State House,Attorney General,Republican,HD176,16044,2020
State House,Attorney General,Republican,HD177,9908,2020
State House,Attorney General,Republican,HD178,22029,2020
State House,Attorney General,Republican,HD179,2670,2020
State House,Attorney General,Republican,HD18,14077,2020
State House,Attorney General,Republican,HD180,2505,2020
State House,Attorney General,Republican,HD181,1918,2020
State House,Attorney General,Republican,HD182,6083,2020
State House,Attorney General,Republican,HD183,19751,2020
State House,Attorney General,Republican,HD184,8092,2020
State House,Attorney General,Republican,HD185,6934,2020
State House,Attorney General,Republican,HD186,3389,2020
State House,Attorney General,Republican,HD187,20116,2020
State House,Attorney General,Republican,HD188,1390,2020
State House,Attorney General,Republican,HD189,14385,2020
State House,Attorney General,Republican,HD19,3349,2020
State House,Attorney General,Republican,HD190,1187,2020
State House,Attorney General,Republican,HD191,1127,2020
State House,Attorney General,Republican,HD192,1214,2020
State House,Attorney General,Republican,HD193,22873,2020
State House,Attorney General,Republican,HD194,8405,2020
State House,Attorney General,Republican,HD195,2289,2020
State House,Attorney General,Republican,HD196,23091,2020
State House,Attorney General,Republican,HD197,1683,2020
State House,Attorney General,Republican,HD198,939,2020
State House,Attorney General,Republican,HD199,19510,2020
State House,Attorney General,Republican,HD2,9822,2020
State House,Attorney General,Republican,HD20,10271,2020
State House,Attorney General,Republican,HD200,1859,2020
State House,Attorney General,Republican,HD201,926,2020
State House,Attorney General,Republican,HD202,4416,2020
State House,Attorney General,Republican,HD203,1685,2020
State House,Attorney General,Republican,HD21,10946,2020
State House,Attorney General,Republican,HD22,5230,2020
State House,Attorney General,Republican,HD23,4496,2020
State House,Attorney General,Republican,HD24,2397,2020
State House,Attorney General,Republican,HD25,12931,2020
State House,Attorney General,Republican,HD26,18974,2020
State House,Attorney General,Republican,HD27,9414,2020
State House,Attorney General,Republican,HD28,20832,2020
State House,Attorney General,Republican,HD29,20242,2020
State House,Attorney General,Republican,HD3,16048,2020
State House,Attorney General,Republican,HD30,19231,2020
State House,Attorney General,Republican,HD31,17715,2020
State House,Attorney General,Republican,HD32,11691,2020
State House,Attorney General,Republican,HD33,13849,2020
State House,Attorney General,Republican,HD34,7790,2020
State House,Attorney General,Republican,HD35,9116,2020
State House,Attorney General,Republican,HD36,10113,2020
State House,Attorney General,Republican,HD37,23993,2020
State House,Attorney General,Republican,HD38,14857,2020
State House,Attorney General,Republican,HD39,19184,2020
State House,Attorney General,Republican,HD4,17341,2020
State House,Attorney General,Republican,HD40,21653,2020
State House,Attorney General,Republican,HD41,21150,2020
State House,Attorney General,Republican,HD42,11809,2020
State House,Attorney General,Republican,HD43,19802,2020
State House,Attorney General,Republican,HD44,18921,2020
State House,Attorney General,Republican,HD45,14530,2020
State House,Attorney General,Republican,HD46,21715,2020
State House,Attorney General,Republican,HD47,20292,2020
State House,Attorney General,Republican,HD48,17333,2020
State House,Attorney General,Republican,HD49,14856,2020
State House,Attorney General,Republican,HD5,20391,2020
State House,Attorney General,Republican,HD50,15333,2020
State House,Attorney General,Republican,HD51,17294,2020
State House,Attorney General,Republican,HD52,18486,2020
State House,Attorney General,Republican,HD53,16028,2020
State House,Attorney General,Republican,HD54,20953,2020
State House,Attorney General,Republican,HD55,17971,2020
State House,Attorney General,Republican,HD56,22328,2020
State House,Attorney General,Republican,HD57,19041,2020
State House,Attorney General,Republican,HD58,18409,2020
State House,Attorney General,Republican,HD59,23615,2020
State House,Attorney General,Republican,HD6,19297,2020
State House,Attorney General,Republican,HD60,22393,2020
State House,Attorney General,Republican,HD61,15860,2020
State House,Attorney General,Republican,HD62,16721,2020
State House,Attorney General,Republican,HD63,20562,2020
State House,Attorney General,Republican,HD64,18988,2020
State House,Attorney General,Republican,HD65,19500,2020
State House,Attorney General,Republican,HD66,23079,2020
State House,Attorney General,Republican,HD67,21883,2020
State House,Attorney General,Republican,HD68,21958,2020
State House,Attorney General,Republican,HD69,25589,2020
State House,Attorney General,Republican,HD7,15606,2020
State House,Attorney General,Republican,HD70,9964,2020
State House,Attorney General,Republican,HD71,17555,2020
State House,Attorney General,Republican,HD72,20554,2020
State House,Attorney General,Republican,HD73,20666,2020
State House,Attorney General,Republican,HD74,11589,2020
State House,Attorney General,Republican,HD75,23238,2020
State House,Attorney General,Republican,HD76,18781,2020
State House,Attorney General,Republican,HD77,7421,2020
State House,Attorney General,Republican,HD78,27780,2020
State House,Attorney General,Republican,HD79,18181,2020
State House,Attorney General,Republican,HD8,21653,2020
State House,Attorney General,Republican,HD80,25731,2020
State House,Attorney General,Republican,HD81,22237,2020
State House,Attorney General,Republican,HD82,22393,2020
State House,Attorney General,Republican,HD83,16771,2020
State House,Attorney General,Republican,HD84,24366,2020
State House,Attorney General,Republican,HD85,19170,2020
State House,Attorney General,Republican,HD86,22274,2020
State House,Attorney General,Republican,HD87,21847,2020
State House,Attorney General,Republican,HD88,18308,2020
State House,Attorney General,Republican,HD89,21697,2020
State House,Attorney General,Republican,HD9,15871,2020
State House,Attorney General,Republican,HD90,24652,2020
State House,Attorney General,Republican,HD91,22623,2020
State House,Attorney General,Republican,HD92,24725,2020
State House,Attorney General,Republican,HD93,23129,2020
State House,Attorney General,Republican,HD94,21681,2020
State House,Attorney General,Republican,HD95,8217,2020
State House,Attorney General,Republican,HD96,6137,2020
State House,Attorney General,Republican,HD97,22281,2020
State House,Attorney General,Republican,HD98,20206,2020
State House,Attorney General,Republican,HD99,19975,2020
State House,Auditor,All,HD1,21434,2020
State House,Auditor,All,HD10,28898,2020
State House,Auditor,All,HD100,27473,2020
State House,Auditor,All,HD101,34308,2020
State House,Auditor,All,HD102,32955,2020
State House,Auditor,All,HD103,24927,2020
State House,Auditor,All,HD104,36818,2020
State House,Auditor,All,HD105,40805,2020
State House,Auditor,All,HD106,35690,2020
State House,Auditor,All,HD107,28962,2020
State House,Auditor,All,HD108,29876,2020
State House,Auditor,All,HD109,28368,2020
State House,Auditor,All,HD11,31672,2020
State House,Auditor,All,HD110,28911,2020
State House,Auditor,All,HD111,30647,2020
State House,Auditor,All,HD112,32072,2020
State House,Auditor,All,HD113,29284,2020
State House,Auditor,All,HD114,35930,2020
State House,Auditor,All,HD115,27366,2020
State House,Auditor,All,HD116,26388,2020
State House,Auditor,All,HD117,32288,2020
State House,Auditor,All,HD118,34268,2020
State House,Auditor,All,HD119,28056,2020
State House,Auditor,All,HD12,43657,2020
State House,Auditor,All,HD120,31716,2020
State House,Auditor,All,HD121,23609,2020
State House,Auditor,All,HD122,31265,2020
State House,Auditor,All,HD123,23712,2020
State House,Auditor,All,HD124,31749,2020
State House,Auditor,All,HD125,31400,2020
State House,Auditor,All,HD126,27203,2020
State House,Auditor,All,HD127,16128,2020
State House,Auditor,All,HD128,36953,2020
State House,Auditor,All,HD129,36450,2020
State House,Auditor,All,HD13,34132,2020
State House,Auditor,All,HD130,36466,2020
State House,Auditor,All,HD131,41195,2020
State House,Auditor,All,HD132,25094,2020
State House,Auditor,All,HD133,30923,2020
State House,Auditor,All,HD134,38808,2020
State House,Auditor,All,HD135,29973,2020
State House,Auditor,All,HD136,30635,2020
State House,Auditor,All,HD137,37033,2020
State House,Auditor,All,HD138,41410,2020
State House,Auditor,All,HD139,36475,2020
State House,Auditor,All,HD14,35711,2020
State House,Auditor,All,HD140,32780,2020
State House,Auditor,All,HD141,30567,2020
State House,Auditor,All,HD142,41898,2020
State House,Auditor,All,HD143,43486,2020
State House,Auditor,All,HD144,41027,2020
State House,Auditor,All,HD145,37547,2020
State House,Auditor,All,HD146,36219,2020
State House,Auditor,All,HD147,38814,2020
State House,Auditor,All,HD148,44950,2020
State House,Auditor,All,HD149,40869,2020
State House,Auditor,All,HD15,34490,2020
State House,Auditor,All,HD150,37601,2020
State House,Auditor,All,HD151,39215,2020
State House,Auditor,All,HD152,39343,2020
State House,Auditor,All,HD153,41722,2020
State House,Auditor,All,HD154,39418,2020
State House,Auditor,All,HD155,44773,2020
State House,Auditor,All,HD156,39596,2020
State House,Auditor,All,HD157,40376,2020
State House,Auditor,All,HD158,37941,2020
State House,Auditor,All,HD159,24406,2020
State House,Auditor,All,HD16,33793,2020
State House,Auditor,All,HD160,40004,2020
State House,Auditor,All,HD161,39739,2020
State House,Auditor,All,HD162,34244,2020
State House,Auditor,All,HD163,36854,2020
State House,Auditor,All,HD164,27678,2020
State House,Auditor,All,HD165,41405,2020
State House,Auditor,All,HD166,40392,2020
State House,Auditor,All,HD167,43441,2020
State House,Auditor,All,HD168,43646,2020
State House,Auditor,All,HD169,36182,2020
State House,Auditor,All,HD17,29946,2020
State House,Auditor,All,HD170,28297,2020
State House,Auditor,All,HD171,39266,2020
State House,Auditor,All,HD172,26816,2020
State House,Auditor,All,HD173,25048,2020
State House,Auditor,All,HD174,26389,2020
State House,Auditor,All,HD175,35803,2020
State House,Auditor,All,HD176,31696,2020
State House,Auditor,All,HD177,25960,2020
State House,Auditor,All,HD178,44400,2020
State House,Auditor,All,HD179,21695,2020
State House,Auditor,All,HD18,31603,2020
State House,Auditor,All,HD180,15539,2020
State House,Auditor,All,HD181,27208,2020
State House,Auditor,All,HD182,41727,2020
State House,Auditor,All,HD183,34364,2020
State House,Auditor,All,HD184,28374,2020
State House,Auditor,All,HD185,30562,2020
State House,Auditor,All,HD186,35132,2020
State House,Auditor,All,HD187,37587,2020
State House,Auditor,All,HD188,27445,2020
State House,Auditor,All,HD189,30601,2020
State House,Auditor,All,HD19,25573,2020
State House,Auditor,All,HD190,29938,2020
State House,Auditor,All,HD191,26503,2020
State House,Auditor,All,HD192,30929,2020
State House,Auditor,All,HD193,34219,2020
State House,Auditor,All,HD194,37738,2020
State House,Auditor,All,HD195,32083,2020
State House,Auditor,All,HD196,35536,2020
State House,Auditor,All,HD197,20835,2020
State House,Auditor,All,HD198,27183,2020
State House,Auditor,All,HD199,33987,2020
State House,Auditor,All,HD2,26910,2020
State House,Auditor,All,HD20,35557,2020
State House,Auditor,All,HD200,38940,2020
State House,Auditor,All,HD201,28237,2020
State House,Auditor,All,HD202,21969,2020
State House,Auditor,All,HD203,29387,2020
State House,Auditor,All,HD21,36429,2020
State House,Auditor,All,HD22,19071,2020
State House,Auditor,All,HD23,30720,2020
State House,Auditor,All,HD24,32054,2020
State House,Auditor,All,HD25,33172,2020
State House,Auditor,All,HD26,36891,2020
State House,Auditor,All,HD27,31660,2020
State House,Auditor,All,HD28,43962,2020
State House,Auditor,All,HD29,41733,2020
State House,Auditor,All,HD3,35557,2020
State House,Auditor,All,HD30,42238,2020
State House,Auditor,All,HD31,43704,2020
State House,Auditor,All,HD32,36648,2020
State House,Auditor,All,HD33,31413,2020
State House,Auditor,All,HD34,33514,2020
State House,Auditor,All,HD35,27214,2020
State House,Auditor,All,HD36,32245,2020
State House,Auditor,All,HD37,35270,2020
State House,Auditor,All,HD38,36136,2020
State House,Auditor,All,HD39,36552,2020
State House,Auditor,All,HD4,30394,2020
State House,Auditor,All,HD40,43214,2020
State House,Auditor,All,HD41,39996,2020
State House,Auditor,All,HD42,37391,2020
State House,Auditor,All,HD43,33718,2020
State House,Auditor,All,HD44,39994,2020
State House,Auditor,All,HD45,36851,2020
State House,Auditor,All,HD46,42540,2020
State House,Auditor,All,HD47,35119,2020
State House,Auditor,All,HD48,34922,2020
State House,Auditor,All,HD49,28171,2020
State House,Auditor,All,HD5,33168,2020
State House,Auditor,All,HD50,26604,2020
State House,Auditor,All,HD51,28243,2020
State House,Auditor,All,HD52,29781,2020
State House,Auditor,All,HD53,36460,2020
State House,Auditor,All,HD54,37665,2020
State House,Auditor,All,HD55,30797,2020
State House,Auditor,All,HD56,38291,2020
State House,Auditor,All,HD57,34410,2020
State House,Auditor,All,HD58,32529,2020
State House,Auditor,All,HD59,36622,2020
State House,Auditor,All,HD6,32334,2020
State House,Auditor,All,HD60,33617,2020
State House,Auditor,All,HD61,41868,2020
State House,Auditor,All,HD62,29063,2020
State House,Auditor,All,HD63,28855,2020
State House,Auditor,All,HD64,28952,2020
State House,Auditor,All,HD65,28903,2020
State House,Auditor,All,HD66,30854,2020
State House,Auditor,All,HD67,29650,2020
State House,Auditor,All,HD68,29421,2020
State House,Auditor,All,HD69,33668,2020
State House,Auditor,All,HD7,30505,2020
State House,Auditor,All,HD70,31122,2020
State House,Auditor,All,HD71,30568,2020
State House,Auditor,All,HD72,31677,2020
State House,Auditor,All,HD73,29817,2020
State House,Auditor,All,HD74,33828,2020
State House,Auditor,All,HD75,33296,2020
State House,Auditor,All,HD76,28907,2020
State House,Auditor,All,HD77,22138,2020
State House,Auditor,All,HD78,34236,2020
State House,Auditor,All,HD79,28547,2020
State House,Auditor,All,HD8,31511,2020
State House,Auditor,All,HD80,34211,2020
State House,Auditor,All,HD81,33551,2020
State House,Auditor,All,HD82,29598,2020
State House,Auditor,All,HD83,28396,2020
State House,Auditor,All,HD84,32960,2020
State House,Auditor,All,HD85,30246,2020
State House,Auditor,All,HD86,31781,2020
State House,Auditor,All,HD87,43187,2020
State House,Auditor,All,HD88,36586,2020
State House,Auditor,All,HD89,33610,2020
State House,Auditor,All,HD9,29529,2020
State House,Auditor,All,HD90,34094,2020
State House,Auditor,All,HD91,35537,2020
State House,Auditor,All,HD92,37920,2020
State House,Auditor,All,HD93,37138,2020
State House,Auditor,All,HD94,33382,2020
State House,Auditor,All,HD95,23293,2020
State House,Auditor,All,HD96,24550,2020
State House,Auditor,All,HD97,42563,2020
State House,Auditor,All,HD98,33414,2020
State House,Auditor,All,HD99,28777,2020
State House,Auditor,Democratic,HD1,12811,2020
State House,Auditor,Democratic,HD10,10027,2020
State House,Auditor,Democratic,HD100,7176,2020
State House,Auditor,Democratic,HD101,12116,2020
State House,Auditor,Democratic,HD102,8232,2020
State House,Auditor,Democratic,HD103,18323,2020
State House,Auditor,Democratic,HD104,15024,2020
State House,Auditor,Democratic,HD105,17801,2020
State House,Auditor,Democratic,HD106,15783,2020
State House,Auditor,Democratic,HD107,9057,2020
State House,Auditor,Democratic,HD108,8038,2020
State House,Auditor,Democratic,HD109,9144,2020
State House,Auditor,Democratic,HD11,9201,2020
State House,Auditor,Democratic,HD110,7149,2020
State House,Auditor,Democratic,HD111,8763,2020
State House,Auditor,Democratic,HD112,18890,2020
State House,Auditor,Democratic,HD113,17329,2020
State House,Auditor,Democratic,HD114,17057,2020
State House,Auditor,Democratic,HD115,16094,2020
State House,Auditor,Democratic,HD116,8732,2020
State House,Auditor,Democratic,HD117,10152,2020
State House,Auditor,Democratic,HD118,15379,2020
State House,Auditor,Democratic,HD119,11230,2020
State House,Auditor,Democratic,HD12,14300,2020
State House,Auditor,Democratic,HD120,14554,2020
State House,Auditor,Democratic,HD121,12097,2020
State House,Auditor,Democratic,HD122,9929,2020
State House,Auditor,Democratic,HD123,8142,2020
State House,Auditor,Democratic,HD124,8630,2020
State House,Auditor,Democratic,HD125,7623,2020
State House,Auditor,Democratic,HD126,15340,2020
State House,Auditor,Democratic,HD127,11173,2020
State House,Auditor,Democratic,HD128,14344,2020
State House,Auditor,Democratic,HD129,13982,2020
State House,Auditor,Democratic,HD13,13988,2020
State House,Auditor,Democratic,HD130,12883,2020
State House,Auditor,Democratic,HD131,17404,2020
State House,Auditor,Democratic,HD132,15231,2020
State House,Auditor,Democratic,HD133,16692,2020
State House,Auditor,Democratic,HD134,16309,2020
State House,Auditor,Democratic,HD135,18372,2020
State House,Auditor,Democratic,HD136,16269,2020
State House,Auditor,Democratic,HD137,15310,2020
State House,Auditor,Democratic,HD138,16990,2020
State House,Auditor,Democratic,HD139,11841,2020
State House,Auditor,Democratic,HD14,11548,2020
State House,Auditor,Democratic,HD140,17403,2020
State House,Auditor,Democratic,HD141,15663,2020
State House,Auditor,Democratic,HD142,18263,2020
State House,Auditor,Democratic,HD143,20188,2020
State House,Auditor,Democratic,HD144,18104,2020
State House,Auditor,Democratic,HD145,14947,2020
State House,Auditor,Democratic,HD146,17854,2020
State House,Auditor,Democratic,HD147,15961,2020
State House,Auditor,Democratic,HD148,28557,2020
State House,Auditor,Democratic,HD149,26061,2020
State House,Auditor,Democratic,HD15,10650,2020
State House,Auditor,Democratic,HD150,19229,2020
State House,Auditor,Democratic,HD151,20704,2020
State House,Auditor,Democratic,HD152,20570,2020
State House,Auditor,Democratic,HD153,26631,2020
State House,Auditor,Democratic,HD154,29768,2020
State House,Auditor,Democratic,HD155,22818,2020
State House,Auditor,Democratic,HD156,20067,2020
